//:csv
*skybox,sky-w1-sunset;
*sound,bgmz;
w1/block2,-36,-20=1096
hashigo,-34,-20=1097
coin/coin1,-32,-20=1098
w1/block2,-30,-20=1099
coin/coin1,-26,-20=1100
w1/block2,0,-20=1101
w1/block2,12,-20=1102
w1/block2,46,-20=1103
coin/coin1,48,-20=1104
hashigo,50,-20=1105
w1/block2,52,-20=1106
w1/block2,54,-20=1107
w1/block2,56,-20=1108
w1/block2,58,-20=1109
w1/block2,60,-20=1110
w1/block2,62,-20=1111
w1/block2,64,-20=1112
w1/block2,70,-20=1113
w1/block2,-36,-22=1114
hashigo,-34,-22=1115
coin/coin1,-26,-22=1116
w1/block2,0,-22=1117
w1/block2,12,-22=1118
w1/block2,46,-22=1119
hashigo,50,-22=1120
coin/coin1,54,-22=1121
coin/coin1,56,-22=1122
coin/coin1,58,-22=1123
coin/coin1,60,-22=1124
coin/coin1,62,-22=1125
w1/block2,70,-22=1126
w1/block2,-36,-24=1127
hashigo,-34,-24=1128
w1/block2,0,-24=1129
w1/block2,12,-24=1130
w1/block2,46,-24=1131
hashigo,50,-24=1132
w1/block2,70,-24=1133
w1/block2,-36,-26=1134
w1/block2,-34,-26=1135
w1/block2,-32,-26=1136
w1/block2,-30,-26=1137
w1/block2,-28,-26=1138
w1/block2,-26,-26=1139
w1/block2,-24,-26=1140
w1/block2,-22,-26=1141
w1/block2,-20,-26=1142
w1/block2,-18,-26=1143
w1/block2,-16,-26=1144
w1/block2,-14,-26=1145
w1/block2,-12,-26=1146
w1/block2,-10,-26=1147
w1/block2,-8,-26=1148
w1/block2,-6,-26=1149
w1/block2,-4,-26=1150
w1/block2,-2,-26=1151
w1/block2,0,-26=1152
w1/block2,2,-26=1153
w1/block2,4,-26=1154
w1/block2,6,-26=1155
w1/block2,8,-26=1156
w1/block2,10,-26=1157
w1/block2,12,-26=1158
w1/block2,46,-26=1159
w1/block2,48,-26=1160
w1/block2,50,-26=1161
w1/block2,52,-26=1162
w1/block2,54,-26=1163
w1/block2,56,-26=1164
w1/block2,58,-26=1165
w1/block2,60,-26=1166
w1/block2,62,-26=1167
w1/block2,64,-26=1168
w1/block2,66,-26=1169
w1/block2,68,-26=1170
w1/block2,70,-26=1171
@halstar,4,-5=1172
@goalobj,-10,-5=1173
toride,-5,-4=1174
@outofarea,-2,70=1175
